ZONAS,NOMBRE ZONAS,,,cliente zona,ZonaTransp,,,,,ZonaTransp,Zona Entrega,RutReal,Denominación
,,,,9100294904,DD13100053,,,,,,,,
,,,,9100296409,DD13100028,,,,,,,,
,,,,9100296646,DD13100006,,,,,,,,
,,,,9100297849,DD13100011,,,,,,,,
,,,,9100299260,DD13100030,,,,,,,,
,,,,9100300991,DD13100032,,,,,,,,
,,,,9100301063,DD13100058,,,,,,,,
,,,,9100301605,DD13100033,,,,,,,,
,,,,9100301896,DD13100014,,,,,,,,
,,,,9100302461,DD13100014,,,,,,,,
,,,,9100304652,DD13100017,,,,,,,,
,,,,9100305166,DD13100003,,,,,,,,
,,,,9100305167,DD13100003,,,,,,,,
,,,,9100305726,DD13100062,,,,,,,,
,,,,9100310143,DD13100014,,,,,,,,
,,,,9100324575,DD13100055,,,,,,,,
,,,,9100326018,DD13100058,,,,,,,,
,,,,9100326765,DD13100008,,,,,,,,
,,,,9100331748,DD13100008,,,,,,,,
,,,,9100332707,DD13100058,,,,,,,,
,,,,9100334134,DD13100026,,,,,,,,
,,,,9100336673,DD13100001,,,,,,,,
,,,,9100337367,DD13100068,,,,,,,,
,,,,9100338195,DD13100013,,,,,,,,
,,,,9100338196,DD13100015,,,,,,,,
,,,,9100338332,DD13100007,,,,,,,,
,,,,9100340260,DD13100012,,,,,,,,
,,,,9100340763,DD13100017,,,,,,,,
,,,,9100341135,DD13100011,,,,,,,,
,,,,9100341736,DD13100001,,,,,,,,
,,,,9100342026,DD13100050,,,,,,,,
,,,,9100342550,DD13100030,,,,,,,,
,,,,9100343446,DD13100050,,,,,,,,
,,,,9100345891,DD13100053,,,,,,,,
,,,,9100348821,DD13100018,,,,,,,,
,,,,9100350872,DD13100008,,,,,,,,
,,,,9100350948,DD13100061,,,,,,,,
,,,,9100353152,DD13100008,,,,,,,,
,,,,9100353302,DD13100055,,,,,,,,
,,,,9100354651,DD13100007,,,,,,,,
,,,,9100355289,DD13100012,,,,,,,,
,,,,9100365812,DD13100017,,,,,,,,
,,,,9100366443,DD13100008,,,,,,,,
,,,,9100366724,DD13100024,,,,,,,,
,,,,9100366732,DD13100008,,,,,,,,
,,,,9100366733,DD13100008,,,,,,,,
,,,,9100366735,DD13100026,,,,,,,,
,,,,9100366757,DD13100024,,,,,,,,
,,,,9100369663,DD13100060,,,,,,,,
,,,,9100369998,DD13100008,,,,,,,,
,,,,9100371601,DD13100032,,,,,,,,
,,,,9100371825,DD13100008,,,,,,,,
,,,,9100372136,DD13100061,,,,,,,,
,,,,9100373403,DD13100038,,,,,,,,
,,,,9100373406,DD13100023,,,,,,,,
,,,,9100373422,DD13100011,,,,,,,,
,,,,9100373428,DD13100038,,,,,,,,
,,,,9100373488,DD13100023,,,,,,,,
,,,,9100373506,DD13100028,,,,,,,,
,,,,9100373615,DD13100011,,,,,,,,
,,,,9100373640,DD13100018,,,,,,,,
,,,,9100373641,DD13100016,,,,,,,,
,,,,9100374147,DD13100058,,,,,,,,
,,,,9100374304,DD13100055,,,,,,,,
,,,,9100374429,DD13100053,,,,,,,,
,,,,9100377532,DD13100030,,,,,,,,
,,,,9100378362,DD13100067,,,,,,,,
,,,,9100378510,DD13100016,,,,,,,,
,,,,9100381861,DD13100058,,,,,,,,
,,,,9100381913,DD13100025,,,,,,,,
,,,,9100382635,DD13100024,,,,,,,,
,,,,9100383438,DD13100061,,,,,,,,
,,,,9100385693,DD13100063,,,,,,,,
,,,,9100389125,DD13100055,,,,,,,,
,,,,9100389358,DD13100053,,,,,,,,
,,,,9100397795,DD13100050,,,,,,,,
,,,,9100399265,DD13100011,,,,,,,,
,,,,9100399521,DD13100068,,,,,,,,
,,,,9100403364,DD13100004,,,,,,,,
,,,,9100409671,DD13100055,,,,,,,,
,,,,9100410532,DD13100016,,,,,,,,
,,,,9100410610,DD13100067,,,,,,,,
,,,,9100411152,DD13100068,,,,,,,,
,,,,9100411688,DD13100016,,,,,,,,
,,,,9100413240,DD13100024,,,,,,,,
,,,,9100413328,DD13100007,,,,,,,,
,,,,9100414445,DD13100002,,,,,,,,
,,,,9100416412,DD13100050,,,,,,,,
,,,,9100419900,DD13100053,,,,,,,,
,,,,9100420327,DD13100030,,,,,,,,
,,,,9100420376,DD13100058,,,,,,,,
,,,,9100420424,DD13100033,,,,,,,,
,,,,9100420785,DD13100021,,,,,,,,
,,,,9100420786,DD13100015,,,,,,,,
,,,,9100422647,DD13100019,,,,,,,,
,,,,9100423445,DD13100007,,,,,,,,
,,,,9100423519,DD13100050,,,,,,,,
,,,,9100423767,DD13100017,,,,,,,,
,,,,9100424060,DD13100004,,,,,,,,
,,,,9100424065,DD13100029,,,,,,,,
,,,,9100432797,DD13100016,,,,,,,,
,,,,9100433466,DD13100062,,,,,,,,
,,,,9100433502,DD13100008,,,,,,,,
,,,,9100436371,DD13100053,,,,,,,,
,,,,9100443296,DD13100029,,,,,,,,
,,,,9100443450,DD13100068,,,,,,,,
,,,,9100444038,DD13100003,,,,,,,,
,,,,9100444956,DD13100008,,,,,,,,
,,,,9100445926,DD13100014,,,,,,,,
,,,,9100446439,DD13100050,,,,,,,,
,,,,9100447620,DD13100017,,,,,,,,
,,,,9100447655,DD13100031,,,,,,,,
,,,,9100448962,DD13100050,,,,,,,,
,,,,9100450636,DD13100029,,,,,,,,
,,,,9100451636,DD13100050,,,,,,,,
,,,,9100452581,DD13100055,,,,,,,,
,,,,9100453364,DD13100058,,,,,,,,
,,,,9100453983,DD13100068,,,,,,,,
,,,,9100454403,DD13100053,,,,,,,,
,,,,9100461830,DD13100067,,,,,,,,
,,,,9100466233,DD13100006,,,,,,,,
,,,,9100466625,DD13100053,,,,,,,,
,,,,9100467000,DD13100058,,,,,,,,
,,,,9100467331,DD13100006,,,,,,,,
,,,,9100468163,DD13100026,,,,,,,,
,,,,9100468310,DD13100032,,,,,,,,
,,,,9100469494,DD13100014,,,,,,,,
,,,,9100470966,DD13100003,,,,,,,,
,,,,9100471566,DD13100053,,,,,,,,
,,,,9100473327,DD13100060,,,,,,,,
,,,,9100473447,DD13100063,,,,,,,,
,,,,9100473659,DD13100052,,,,,,,,
,,,,9100474233,DD13100045,,,,,,,,
,,,,9100479079,DD13100011,,,,,,,,
,,,,9100479427,DD13100058,,,,,,,,
,,,,9100480482,DD13100018,,,,,,,,
,,,,9100485303,DD13100058,,,,,,,,
,,,,9100486027,DD13100001,,,,,,,,
,,,,9100486030,DD13100024,,,,,,,,
,,,,9100487378,DD13100058,,,,,,,,
,,,,9100491082,DD13100063,,,,,,,,
,,,,9100492927,DD13100050,,,,,,,,
,,,,9100493210,DD13100030,,,,,,,,
,,,,9100494258,DD13100050,,,,,,,,
,,,,9100494288,DD13100058,,,,,,,,
,,,,9100494853,DD13100058,,,,,,,,
,,,,9100494906,DD13100058,,,,,,,,
,,,,9100495381,DD13100040,,,,,,,,
,,,,9100495996,DD13100011,,,,,,,,
,,,,9100497770,DD13100016,,,,,,,,
,,,,9100497829,DD13100008,,,,,,,,
,,,,9100498065,DD13100007,,,,,,,,
,,,,9100501076,DD13100011,,,,,,,,
,,,,9100502995,DD13100013,,,,,,,,
,,,,9100503002,DD13100011,,,,,,,,
,,,,9100503009,DD13100045,,,,,,,,
,,,,9100503205,DD13100008,,,,,,,,
,,,,9100503495,DD13100053,,,,,,,,
,,,,9100503664,DD13100032,,,,,,,,
,,,,9100505409,DD13100031,,,,,,,,
,,,,9100505447,DD13100007,,,,,,,,
,,,,9100506888,DD13100019,,,,,,,,
,,,,9100507154,DD13100019,,,,,,,,
,,,,9100507921,DD13100014,,,,,,,,
,,,,9100509767,DD13100011,,,,,,,,
,,,,9100511092,DD13100030,,,,,,,,
,,,,9100512192,DD13100046,,,,,,,,
,,,,9100512676,DD13100029,,,,,,,,
,,,,9100513352,DD13100018,,,,,,,,
,,,,9100513397,DD13100011,,,,,,,,
,,,,9100513427,DD13100045,,,,,,,,
,,,,9100513817,DD13100067,,,,,,,,
,,,,9100513843,DD13100027,,,,,,,,
,,,,9100514206,DD13100045,,,,,,,,
,,,,9100514207,DD13100045,,,,,,,,
,,,,9100514208,DD13100045,,,,,,,,
,,,,9100515640,DD13100053,,,,,,,,
,,,,9100515642,DD13100067,,,,,,,,
,,,,9100517175,DD13100045,,,,,,,,
,,,,9100517197,DD13100007,,,,,,,,
,,,,9100517311,DD13100067,,,,,,,,
,,,,9100517366,DD13100053,,,,,,,,
,,,,9100517443,DD13100013,,,,,,,,
,,,,9100517477,DD13100045,,,,,,,,
,,,,9100517701,DD13100050,,,,,,,,
,,,,9100519718,DD13100007,,,,,,,,
,,,,9100519725,DD13100045,,,,,,,,
,,,,9100519746,DD13100045,,,,,,,,
,,,,9100520022,DD13100017,,,,,,,,
,,,,9100520123,DD13100007,,,,,,,,
,,,,9100520242,DD13100058,,,,,,,,
,,,,9100520726,DD13100053,,,,,,,,
,,,,9100521595,DD13100017,,,,,,,,
,,,,9100521616,DD13100029,,,,,,,,
,,,,9100521678,DD13100021,,,,,,,,
,,,,9100521875,DD13100053,,,,,,,,
,,,,9100522192,DD13100003,,,,,,,,
,,,,9100522267,DD13100003,,,,,,,,
,,,,9100522381,DD13100061,,,,,,,,
,,,,9100522518,DD13100045,,,,,,,,
,,,,9100523486,DD13100053,,,,,,,,
,,,,9100523487,DD13100050,,,,,,,,
,,,,9100523982,DD13100011,,,,,,,,
,,,,9100524060,DD13100013,,,,,,,,
,,,,9100525754,DD13100015,,,,,,,,
,,,,9100526119,DD13100013,,,,,,,,
,,,,9100527198,DD13100011,,,,,,,,
,,,,9100527263,DD13100068,,,,,,,,
,,,,9100527964,DD13100050,,,,,,,,
,,,,9100527972,DD13100045,,,,,,,,
,,,,9100528087,DD13100067,,,,,,,,
,,,,9100528985,DD13100022,,,,,,,,
,,,,9100529011,DD13100045,,,,,,,,
,,,,9100529116,DD13100055,,,,,,,,
,,,,9100529176,DD13100016,,,,,,,,
,,,,9100529181,DD13100008,,,,,,,,
,,,,9100529186,DD13100067,,,,,,,,
,,,,9100529300,DD13100026,,,,,,,,
,,,,9100529900,DD13100063,,,,,,,,
,,,,9100530919,DD13100008,,,,,,,,
,,,,9100530921,DD13100033,,,,,,,,
,,,,9100535260,DD13100019,,,,,,,,
,,,,9100535918,DD13100045,,,,,,,,
,,,,9100536121,DD13100058,,,,,,,,
,,,,9100536443,DD13100045,,,,,,,,
,,,,9100536466,DD13100045,,,,,,,,
,,,,9100536467,DD13100045,,,,,,,,
,,,,9100536469,DD13100045,,,,,,,,
,,,,9100536475,DD13100045,,,,,,,,
,,,,9100536481,DD13100045,,,,,,,,
,,,,9100536484,DD13100045,,,,,,,,
,,,,9100536762,DD13100027,,,,,,,,
,,,,9100536830,DD13100045,,,,,,,,
,,,,9100536947,DD13100045,,,,,,,,
,,,,9100537742,DD13100029,,,,,,,,
,,,,9100538933,DD13100017,,,,,,,,
,,,,9100539485,DD13100004,,,,,,,,
,,,,9100540106,DD13100058,,,,,,,,
,,,,9100540250,DD13100029,,,,,,,,
,,,,9100540322,DD13100053,,,,,,,,
,,,,9100540782,DD13100001,,,,,,,,
,,,,9100541197,DD13100030,,,,,,,,
,,,,9100541821,DD13100068,,,,,,,,
,,,,9100541892,DD13100045,,,,,,,,
,,,,9100541928,DD13100053,,,,,,,,
,,,,9100542069,DD13100006,,,,,,,,
,,,,9100542312,DD13100031,,,,,,,,
,,,,9100542720,DD13100067,,,,,,,,
,,,,9100542820,DD13100026,,,,,,,,
,,,,9100544203,DD13100001,,,,,,,,
,,,,9100544826,DD13100001,,,,,,,,
,,,,9100545628,DD13100007,,,,,,,,
,,,,9100547001,DD13100032,,,,,,,,
,,,,9100547290,DD13100032,,,,,,,,
,,,,9100550379,DD13100015,,,,,,,,
,,,,9100552330,DD13100006,,,,,,,,
,,,,9100553092,DD13100017,,,,,,,,
,,,,9100553669,DD13100001,,,,,,,,
,,,,9100553805,DD13100012,,,,,,,,
,,,,9100553915,DD13100016,,,,,,,,
,,,,9100554547,DD13100055,,,,,,,,
,,,,9100554598,DD13100017,,,,,,,,
,,,,9100556448,DD13100007,,,,,,,,
,,,,9100556449,DD13100008,,,,,,,,
,,,,9100556483,DD13100045,,,,,,,,
,,,,9100556955,DD13100067,,,,,,,,
,,,,9100558085,DD13100029,,,,,,,,
,,,,9100558804,DD13100011,,,,,,,,
,,,,9100559291,DD13100018,,,,,,,,
,,,,9100560156,DD13100050,,,,,,,,
,,,,9100560544,DD13100024,,,,,,,,
,,,,9100562472,DD13100058,,,,,,,,
,,,,9100562973,DD13100018,,,,,,,,
,,,,9100563070,DD13100067,,,,,,,,
,,,,9100563102,DD13100053,,,,,,,,
,,,,9100563642,DD13100053,,,,,,,,
,,,,9100563721,DD13100029,,,,,,,,
,,,,9100563722,DD13100026,,,,,,,,
,,,,9100564349,DD13100030,,,,,,,,
,,,,9100564797,DD13100053,,,,,,,,
,,,,9100565225,DD13100045,,,,,,,,
,,,,9100565827,DD13100052,,,,,,,,
,,,,9100566100,DD13100024,,,,,,,,
,,,,9100566254,DD13100004,,,,,,,,
,,,,9100566266,DD13100053,,,,,,,,
,,,,9100567698,DD13100053,,,,,,,,
,,,,9100567861,DD13100045,,,,,,,,
,,,,9100568067,DD13100019,,,,,,,,
,,,,9100568310,DD13100007,,,,,,,,
,,,,9100568458,DD13100045,,,,,,,,
,,,,9100568729,DD13100067,,,,,,,,
,,,,9100569006,DD13100023,,,,,,,,
,,,,9100569086,DD13100045,,,,,,,,
,,,,9100569087,DD13100045,,,,,,,,
,,,,9100570919,DD13100011,,,,,,,,
,,,,9100572141,DD13100063,,,,,,,,
,,,,9100572378,DD13100067,,,,,,,,
,,,,9100573746,DD13100053,,,,,,,,
,,,,9100574086,DD13100058,,,,,,,,
,,,,9100574514,DD13100023,,,,,,,,
,,,,9100574583,DD13100032,,,,,,,,
,,,,9100576264,DD13100001,,,,,,,,
,,,,9100576586,DD13100055,,,,,,,,
,,,,9100576639,DD13100032,,,,,,,,
,,,,9100576643,DD13100002,,,,,,,,
,,,,9100577666,DD13100063,,,,,,,,
,,,,9100577691,DD13100050,,,,,,,,
,,,,9100577693,DD13100052,,,,,,,,
,,,,9100577716,DD13100061,,,,,,,,
,,,,9100577717,DD13100058,,,,,,,,
,,,,9100577728,DD13100055,,,,,,,,
,,,,9100577732,DD13100055,,,,,,,,
,,,,9100577790,DD13100053,,,,,,,,
,,,,9100579782,DD13100019,,,,,,,,
,,,,9100579824,DD13100050,,,,,,,,
,,,,9100579833,DD13100063,,,,,,,,
,,,,9100579835,DD13100050,,,,,,,,
,,,,9100579836,DD13100050,,,,,,,,
,,,,9100579841,DD13100050,,,,,,,,
,,,,9100580278,DD13100017,,,,,,,,
,,,,9100581337,DD13100053,,,,,,,,
,,,,9100582033,DD13100050,,,,,,,,
,,,,9100582034,DD13100058,,,,,,,,
,,,,9100582039,DD13100058,,,,,,,,
,,,,9100582097,DD13100050,,,,,,,,
,,,,9100582098,DD13100058,,,,,,,,
,,,,9100582978,DD13100004,,,,,,,,
,,,,9100583212,DD13100008,,,,,,,,
,,,,9100588030,DD13100068,,,,,,,,
,,,,9100590492,DD13100052,,,,,,,,
,,,,9100591127,DD13100007,,,,,,,,
,,,,9100591222,DD13100032,,,,,,,,
,,,,9100591493,DD13100024,,,,,,,,
,,,,9100591545,DD13100032,,,,,,,,
,,,,9100592884,DD13100050,,,,,,,,
,,,,9100593250,DD13100058,,,,,,,,
,,,,9100596041,DD13100006,,,,,,,,
,,,,9100596801,DD13100045,,,,,,,,
,,,,9100597250,DD13100052,,,,,,,,
,,,,9100597581,DD13100033,,,,,,,,
,,,,9100597817,DD13100067,,,,,,,,
,,,,9100600530,DD13100067,,,,,,,,
,,,,9100601539,DD13100029,,,,,,,,
,,,,9100601682,DD13100027,,,,,,,,
,,,,9100601980,DD13100011,,,,,,,,
,,,,9100602299,DD13100055,,,,,,,,
,,,,9100602372,DD13100032,,,,,,,,
,,,,9100603628,DD13100013,,,,,,,,
,,,,9100606155,DD13100058,,,,,,,,
,,,,9100607321,DD13100001,,,,,,,,
,,,,9100607527,DD13100017,,,,,,,,
,,,,9100609140,DD13100055,,,,,,,,
,,,,9100609846,DD13100067,,,,,,,,
,,,,9100610240,DD13100055,,,,,,,,
,,,,9100610435,DD13100008,,,,,,,,
,,,,9100612100,DD13100001,,,,,,,,
,,,,9100613076,DD13100031,,,,,,,,
,,,,9100614225,DD13100063,,,,,,,,
,,,,9100614413,DD13100017,,,,,,,,
,,,,9100615213,DD13100032,,,,,,,,
,,,,9100615441,DD13100058,,,,,,,,
,,,,9100616552,DD13100012,,,,,,,,
,,,,9100617121,DD13100027,,,,,,,,
,,,,9100617124,DD13100023,,,,,,,,
,,,,9100617395,DD13100023,,,,,,,,
,,,,9100617475,DD13100023,,,,,,,,
,,,,9100617812,DD13100053,,,,,,,,
,,,,9100618226,DD13100050,,,,,,,,
,,,,9100619658,DD13100011,,,,,,,,
,,,,9100620561,DD13100017,,,,,,,,
,,,,9100621276,DD13100004,,,,,,,,
,,,,9100621389,DD13100018,,,,,,,,
,,,,9100622604,DD13100026,,,,,,,,
,,,,9100622784,DD13100003,,,,,,,,
,,,,9100623018,DD13100006,,,,,,,,
,,,,9100626406,DD13100024,,,,,,,,
,,,,9100626587,DD13100020,,,,,,,,
,,,,9100627170,DD13100060,,,,,,,,
,,,,9100627485,DD13100033,,,,,,,,
,,,,9100627695,DD13100063,,,,,,,,
,,,,9100627975,DD13100053,,,,,,,,
,,,,9100627990,DD13100047,,,,,,,,
,,,,9100628369,DD13100053,,,,,,,,
,,,,9100628975,DD13100033,,,,,,,,
,,,,9100629126,DD13100014,,,,,,,,
,,,,9100629788,DD13100007,,,,,,,,
,,,,9100629896,DD13100011,,,,,,,,
,,,,9100630014,DD13100012,,,,,,,,
,,,,9100631930,DD13100001,,,,,,,,
,,,,9100632171,DD13100053,,,,,,,,
,,,,9100632834,DD13100007,,,,,,,,
,,,,9100633076,DD13100011,,,,,,,,
,,,,9100633779,DD13100067,,,,,,,,
,,,,9100634160,DD13100050,,,,,,,,
,,,,9100634356,DD13100062,,,,,,,,
,,,,9100635212,DD13100062,,,,,,,,
,,,,9100636763,DD13100027,,,,,,,,
,,,,9100636960,DD13100053,,,,,,,,
,,,,9100636961,DD13100053,,,,,,,,
,,,,9100637313,DD13100058,,,,,,,,
,,,,9100638648,DD13100012,,,,,,,,
,,,,9100639016,DD13100058,,,,,,,,
,,,,9100639032,DD13100017,,,,,,,,
,,,,9100639237,DD13100003,,,,,,,,
,,,,9100639954,DD13100061,,,,,,,,
,,,,9100640157,DD13100062,,,,,,,,
,,,,9100641568,DD13100031,,,,,,,,
,,,,9100641799,DD13100058,,,,,,,,
,,,,9100642392,DD13100019,,,,,,,,
,,,,9100642662,DD13100053,,,,,,,,
,,,,9100642781,DD13100004,,,,,,,,
,,,,9100642823,DD13100050,,,,,,,,
,,,,9100642838,DD13100053,,,,,,,,
,,,,9100643360,DD13100032,,,,,,,,
,,,,9100643487,DD13100024,,,,,,,,
,,,,9100645053,DD13100031,,,,,,,,
,,,,9100645059,DD13100053,,,,,,,,
,,,,9100645312,DD13100011,,,,,,,,
,,,,9100646097,DD13100006,,,,,,,,
,,,,9100646795,DD13100006,,,,,,,,
,,,,9100646871,DD13100045,,,,,,,,
,,,,9100647947,DD13100017,,,,,,,,
,,,,9100648393,DD13100062,,,,,,,,
,,,,9100648495,DD13100050,,,,,,,,
,,,,9100649610,DD13100050,,,,,,,,
,,,,9100650953,DD13100026,,,,,,,,
,,,,9100650976,DD13100026,,,,,,,,
,,,,9100651605,DD13100029,,,,,,,,
,,,,9100651724,DD13100055,,,,,,,,
,,,,9100651895,DD13100017,,,,,,,,
,,,,9100652615,DD13100024,,,,,,,,
,,,,9100652617,DD13100021,,,,,,,,
,,,,9100652762,DD13100067,,,,,,,,
,,,,9100653307,DD13100008,,,,,,,,
,,,,9100653354,DD13100032,,,,,,,,
,,,,9100653355,DD13100019,,,,,,,,
,,,,9100653427,DD13100001,,,,,,,,
,,,,9100654473,DD13100045,,,,,,,,
,,,,9100655002,DD13100007,,,,,,,,
,,,,9100655372,DD13100008,,,,,,,,
,,,,9100658142,DD13100017,,,,,,,,
,,,,9100658144,DD13100019,,,,,,,,
,,,,9100658240,DD13100067,,,,,,,,
,,,,9100659648,DD13100019,,,,,,,,
,,,,9100660484,DD13100007,,,,,,,,
,,,,9100661094,DD13100053,,,,,,,,
,,,,9100661113,DD13100023,,,,,,,,
,,,,9100661227,DD13100023,,,,,,,,
,,,,9100661498,DD13100020,,,,,,,,
,,,,9100661607,DD13100054,,,,,,,,
,,,,9100662674,DD13100019,,,,,,,,
,,,,9100663630,DD13100053,,,,,,,,
,,,,9100663743,DD13100004,,,,,,,,
,,,,9100663784,DD13100003,,,,,,,,
,,,,9100664303,DD13100011,,,,,,,,
,,,,9100664901,DD13100050,,,,,,,,
,,,,9100665155,DD13100001,,,,,,,,
,,,,9100666589,DD13100032,,,,,,,,
,,,,9100666666,DD13100053,,,,,,,,
,,,,9100666742,DD13100050,,,,,,,,
,,,,9100667648,DD13100063,,,,,,,,
,,,,9100668218,DD13100055,,,,,,,,
,,,,9100668715,DD13100055,,,,,,,,
,,,,9100669176,DD13100067,,,,,,,,
,,,,9100669500,DD13100023,,,,,,,,
,,,,9100669635,DD13100050,,,,,,,,
,,,,9100669904,DD13100026,,,,,,,,
,,,,9100670399,DD13100001,,,,,,,,
,,,,9100670427,DD13100023,,,,,,,,
,,,,9100670575,DD13100062,,,,,,,,
,,,,9100671265,DD13100024,,,,,,,,
,,,,9100673284,DD13100067,,,,,,,,
,,,,9100673632,DD13100050,,,,,,,,
,,,,9100675584,DD13100032,,,,,,,,
,,,,9100676061,DD13100045,,,,,,,,
,,,,9100677377,DD13100019,,,,,,,,
,,,,9100677459,DD13100033,,,,,,,,
,,,,9100677478,DD13100007,,,,,,,,
,,,,9100677847,DD13100060,,,,,,,,
,,,,9100678069,DD13100053,,,,,,,,
,,,,9100678134,DD13100017,,,,,,,,
,,,,9100678295,DD13100029,,,,,,,,
,,,,9100678356,DD13100050,,,,,,,,
,,,,9100678719,DD13100053,,,,,,,,
,,,,9100679516,DD13100032,,,,,,,,
,,,,9100679898,DD13100032,,,,,,,,
,,,,9100679906,DD13100031,,,,,,,,
,,,,9100680026,DD13100011,,,,,,,,
,,,,9100680393,DD13100006,,,,,,,,
,,,,9100681160,DD13100021,,,,,,,,
,,,,9100681218,DD13100014,,,,,,,,
,,,,9100681231,DD13100014,,,,,,,,
,,,,9100681243,DD13100058,,,,,,,,
,,,,9100681544,DD13100016,,,,,,,,
,,,,9100681586,DD13100050,,,,,,,,
,,,,9100682040,DD13100053,,,,,,,,
,,,,9100682415,DD13100011,,,,,,,,
,,,,9100682473,DD13100014,,,,,,,,
,,,,9100682560,DD13100060,,,,,,,,
,,,,9100683566,DD13100034,,,,,,,,
,,,,9100683728,DD13100029,,,,,,,,
,,,,9100684101,DD13100008,,,,,,,,
,,,,9100684195,DD13100006,,,,,,,,
,,,,9100684868,DD13100050,,,,,,,,
,,,,9100685322,DD13100016,,,,,,,,
,,,,9100685852,DD13100012,,,,,,,,
,,,,9100686343,DD13100007,,,,,,,,
,,,,9100686742,DD13100003,,,,,,,,
,,,,9100687352,DD13100067,,,,,,,,
,,,,9100687896,DD13100045,,,,,,,,
,,,,9100688641,DD13100013,,,,,,,,
,,,,9100688668,DD13100001,,,,,,,,
,,,,9100689904,DD13100053,,,,,,,,
,,,,9100690441,DD13100023,,,,,,,,
,,,,9100691332,DD13100060,,,,,,,,
,,,,9100691356,DD13100053,,,,,,,,
,,,,9100691956,DD13100058,,,,,,,,
,,,,9100692245,DD13100023,,,,,,,,
,,,,9100694685,DD13100058,,,,,,,,
,,,,9100694798,DD13100006,,,,,,,,
,,,,9100694999,DD13100067,,,,,,,,
,,,,9100695039,DD13100004,,,,,,,,
,,,,9100695182,DD13100001,,,,,,,,
,,,,9100695204,DD13100067,,,,,,,,
,,,,9100695278,DD13100011,,,,,,,,
,,,,9100696143,DD13100043,,,,,,,,
,,,,9100696849,DD13100012,,,,,,,,
,,,,9100698329,DD13100033,,,,,,,,
,,,,9100698420,DD13100023,,,,,,,,
,,,,9100698675,DD13100045,,,,,,,,
,,,,9100698744,DD13100006,,,,,,,,
,,,,9100698912,DD13100018,,,,,,,,
,,,,9100699144,DD13100050,,,,,,,,
,,,,9100699710,DD13100014,,,,,,,,
,,,,9100699983,DD13100017,,,,,,,,
,,,,9100700207,DD13100053,,,,,,,,
,,,,9100700301,DD13100018,,,,,,,,
,,,,9100700812,DD13100023,,,,,,,,
,,,,9100700874,DD13100020,,,,,,,,
,,,,9100701166,DD13100001,,,,,,,,
,,,,9100701217,DD13100024,,,,,,,,
,,,,9100701291,DD13100024,,,,,,,,
,,,,9100701777,DD13100018,,,,,,,,
,,,,9100701784,DD13100053,,,,,,,,
,,,,9100701789,DD13100045,,,,,,,,
,,,,9100702482,DD13100017,,,,,,,,
,,,,9100702913,DD13100026,,,,,,,,
,,,,9100702970,DD13100004,,,,,,,,
,,,,9100703223,DD13100060,,,,,,,,
,,,,9100703234,DD13100053,,,,,,,,
,,,,9100703436,DD13100053,,,,,,,,
,,,,9100703647,DD13100011,,,,,,,,
,,,,9100703787,DD13100063,,,,,,,,
,,,,9100708130,DD13100001,,,,,,,,
,,,,9100715856,DD13100053,,,,,,,,
,,,,9100716110,DD13100067,,,,,,,,
,,,,9100717340,DD13100011,,,,,,,,
,,,,9100717355,DD13100032,,,,,,,,
,,,,9100717724,DD13100068,,,,,,,,
,,,,9100718615,DD13100018,,,,,,,,
,,,,9100718706,DD13100012,,,,,,,,
,,,,9100721293,DD13100023,,,,,,,,
,,,,9100721688,DD13100053,,,,,,,,
,,,,9100722247,DD13100058,,,,,,,,
,,,,9100722376,DD13100058,,,,,,,,
,,,,9100722593,DD13100061,,,,,,,,
,,,,9100723039,DD13100011,,,,,,,,
,,,,9100723046,DD13100050,,,,,,,,
,,,,9100723081,DD13100052,,,,,,,,
,,,,9100723139,DD13100034,,,,,,,,
,,,,9100723264,DD13100035,,,,,,,,
,,,,9100723316,DD13100015,,,,,,,,
,,,,9100723356,DD13100032,,,,,,,,
,,,,9100723531,DD13100017,,,,,,,,
,,,,9100723869,DD13100067,,,,,,,,
,,,,9100724298,DD13100026,,,,,,,,
,,,,9100724322,DD13100050,,,,,,,,
,,,,9100725280,DD13100001,,,,,,,,
,,,,9100725292,DD13100027,,,,,,,,
,,,,9100725417,DD13100026,,,,,,,,
,,,,9100726583,DD13100027,,,,,,,,
,,,,9100726650,DD13100032,,,,,,,,
,,,,9100727009,DD13100053,,,,,,,,
,,,,9100727035,DD13100063,,,,,,,,
,,,,9100727703,DD13100004,,,,,,,,
,,,,9100727750,DD13100011,,,,,,,,
,,,,9100728312,DD13100058,,,,,,,,
,,,,9100728401,DD13100026,,,,,,,,
,,,,9100728505,DD13100026,,,,,,,,
,,,,9100729132,DD13100032,,,,,,,,
,,,,9100729258,DD13100017,,,,,,,,
,,,,9100729405,DD13100018,,,,,,,,
,,,,9100729533,DD13100026,,,,,,,,
,,,,9100729658,DD13100024,,,,,,,,
,,,,9100729943,DD13100029,,,,,,,,
,,,,9100729954,DD13100011,,,,,,,,
,,,,9100730075,DD13100045,,,,,,,,
,,,,9100730939,DD13100017,,,,,,,,
,,,,9100731896,DD13100001,,,,,,,,
,,,,9100731938,DD13100067,,,,,,,,
,,,,9100732766,DD13100017,,,,,,,,
,,,,9100733214,DD13100007,,,,,,,,
,,,,9100733333,DD13100024,,,,,,,,
,,,,9100733355,DD13100016,,,,,,,,
,,,,9100733360,DD13100006,,,,,,,,
