Material,Número de material,Ce.,Alm.,UMB,Fabricante,Número de un fabricante,Ubic.
0AM0870,PONS VINAGRE MANZANA 50CL,D131,0005,UN,43401,"GRUP PONS SINCE 1945, SL",ZCG
0AM0874,DIETILINEA EDULCORANTE    100U,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0875,DIETLINEA EDULCORANTE STEVIA,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0AM0876,AZUCAR MORENO CEPAC 6G 500U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0AM0884,"CARRETILLA CARRILLADA 1,9  2U",D131,0005,CAJ,43451,"INDUSTRIAS ALIMENTARIAS DE NAVARRA,",ZCG
0AM0930,CARRETILLA RABO TORO 2KG 2U,D131,0005,CAJ,43451,"INDUSTRIAS ALIMENTARIAS DE NAVARRA,",ZCG
0AM0940,TOT SNACK VEGECHIP MIX 600GR,D131,0005,UN,43457,"TOT SNACK, SL",ZCG
0AM0946,AVECREM CALDO VERDURA S/GLUTEN 1KG,D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0960,AZUCARERA AZUCAR SACO 5KG,D131,0005,UN,26647,AB AZUCARERA IBERIA S.L.U,ZCG
0AM0964,AZUCARERA AZUCAR MORENO BRIC 750G,D131,0005,UN,26647,AB AZUCARERA IBERIA S.L.U,ZCG
0AM0986,MAIZENA EXPRES CLARA 1KG,D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0989,CHOVI SALSA CESAR 2L,D131,0005,CAJ,43400,"CHOVI, SL",ZCG
0AM0991,CHOVI SALSA PICANTE LOUISIANA 110G,D131,0005,CAJ,43400,"CHOVI, SL",ZCG
0AM1001,FEMUA VINAGRE DE SIDRA NATURAL 75 CL.,D131,0005,UN,43403,"VINAGRERIAS RIOJANAS, SA",ZCG
0AM5389,PROEZA MAIZ DULCE EN GRANO LATA 3KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0CF0039,POMPADOUR TE INFUSION 100U,D131,0005,UN,35208,"POMPADOUR IBERICA,S.A.",ZCG
0CF0042,POMPADOUR TE VERDE 100U,D131,0005,UN,35208,"POMPADOUR IBERICA,S.A.",ZCG
0CF0045,POMPADOUR TILA INFUSION 100 U,D131,0005,UN,35208,"POMPADOUR IBERICA,S.A.",ZCG
0CF1123,MOMENT TEA TE MATCHA LATTE 10UN,D131,0005,CAJ,3834,"NESTLE ESPAÑA, S.A.",ZCG
0LI0002,LA GUITA MANZANILLA 75CL,D131,0005,BOT,37127,"JOSE ESTEVEZ, S.A.",ZCG
0LI0004,RATAFIA RUSSET LIRO B.IN BOX3L,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LI0008,MOSKOVSKAYA VODKA 70CL,D131,0005,BOT,35883,IMPORTACIONES Y EXPORTACIONES VARMA,ZCG
0LI0010,SMIRNOFF VODKA 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0011,ABSOLUT VODKA 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0013,BEEFEATER GIN 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0016,LARIOS GIN 1L,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0018,BOMBAY SAPPHIRE GIN LONDON DRY 70CL,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0030,ZOCO PACHARAN 1L,D131,0005,BOT,36778,ZAMORA COMPANY ESPAÑA SL,ZCG
0LI0031,ETXEKO PACHARAN 1L,D131,0005,BOT,35520,DESTILERIAS LA NAVARRA SA,ZCG
0LI0032,PORTHOS CAZALLA 1L,D131,0005,BOT,15570,"COMERGRUP, S.L.",ZCG
0LI0033,MARTINI BIANCO VERMOUTH 1L,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0034,MARTINI ROSSO VERMOUTH 1L,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0039,FERNET BRANCA 70CL,D131,0005,BOT,43444,"GLOBAL PREMIUM BRANDS, SA",ZCG
0LI0044,MAGNO BRANDY 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0045,SOBERANO BRANDY 1L,D131,0005,BOT,37129,GONZALEZ BYASS DISTRIBUCION S.L.,ZCG
0LI0046,VETERANO BRANDY 1L,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0047,TERRY BRANDY CENTENARIO 1L,D131,0005,BOT,35883,IMPORTACIONES Y EXPORTACIONES VARMA,ZCG
0LI0049,103 BRANDY ETI.BLANCOS 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0050,CARLOS III BRANDY 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0051,CARLOS I BRANDY 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0052,MASCARO BRANDY V.O. 70CL,D131,0005,BOT,15570,"COMERGRUP, S.L.",ZCG
0LI0053,TORRES 5 BRANDY 70CL,D131,0005,BOT,16190,MIGUEL TORRES S.A.,ZCG
0LI0054,TORRES 10 BRANDY 70CL,D131,0005,BOT,16190,MIGUEL TORRES S.A.,ZCG
0LI0055,GRAN DUQUE ALBA BRANDY 75CL,D131,0005,BOT,37028,"BODEGAS WILLIAMS & HUMBERT, S.A.",ZCG
0LI0061,BACARDI RON CARTA BLANCA 1L,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0062,PUJOL RON 1L,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0063,CACIQUE RON AÑEJO 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0064,HAVANA CLUB RON 3 AÑOS 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0066,HAVANA CLUB RON 7 AÑOS 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0068,NEGRITA RON 70CL,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0070,BARCELO RON 70CL,D131,0005,BOT,35883,IMPORTACIONES Y EXPORTACIONES VARMA,ZCG
0LI0073,FRANGELICO LICOR AVELLANA 70CL,D131,0005,BOT,37039,"CAMPARI ESPAÑA, S.L.",ZCG
0LI0075,RIVES LIMA  1L,D131,0005,BOT,41687,RIVES DISTILLERY COMERCIAL S.A.,ZCG
0LI0079,RIVES LICOR MORA SIN ALCOHOL,D131,0005,BOT,41687,RIVES DISTILLERY COMERCIAL S.A.,ZCG
0LI0081,MARTIN MILLER'S GIN 70CL,D131,0005,BOT,36778,ZAMORA COMPANY ESPAÑA SL,ZCG
0LI0084,COINTREAU 70CL,D131,0005,BOT,35883,IMPORTACIONES Y EXPORTACIONES VARMA,ZCG
0LI0085,LICOR 43 1L,D131,0005,BOT,36778,ZAMORA COMPANY ESPAÑA SL,ZCG
0LI0086,GRANPOMIER LICOR 70CL,D131,0005,BOT,37129,GONZALEZ BYASS DISTRIBUCION S.L.,ZCG
0LI0087,GRANPECHER LICOR DE MELOCOTON 70CL,D131,0005,BOT,37129,GONZALEZ BYASS DISTRIBUCION S.L.,ZCG
0LI0088,MALIBU LICOR DE RON DE COCO 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0089,PONCHE CABALLERO LICOR 1L,D131,0005,BOT,36779,LUIS CABALLERO COMERCIAL Y DISTRIBU,ZCG
0LI0090,BONET ESTOMACAL 70CL,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0095,CALISAY 70CL,D131,0005,BOT,8461,"BENJAMIN MARIN GARRE, S.L.",ZCG
0LI0096,TRIPLE SEC PERNOD RICARD 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0100,J&B WHISKY RARE 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0101,BALLANTINE'S WHISKY 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0102,CUTTY SARK WHISKY 70CL,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0104,DEWAR'S WHITE LABEL WHISKY 70CL,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0105,WILLIAM LAWSONS WHISKY  70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0106,THE FAMOUS GROUSE WHISKY 70CL,D131,0005,BOT,35883,IMPORTACIONES Y EXPORTACIONES VARMA,ZCG
0LI0109,JOHNNIE WALKER RED WHISKY 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0110,CHIVAS REGAL 12 AÑOS WHISKY 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0111,JOHNNIE WALKER BLACK WHISKY 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0112,FOUR ROSES BOURBON 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0113,JACK DANIELS WHISKY 70CL,D131,0005,BOT,43458,"BROWN-FORMAN, SL",ZCG
0LI0114,JIM BEAM BOURBON 70CL,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0116,CARDHU WHISKY 12 AÑOS 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0117,GLENFIDDICH 12 AÑOS WHISKY 70CL,D131,0005,BOT,35883,IMPORTACIONES Y EXPORTACIONES VARMA,ZCG
0LI0121,KNOCKANDO 12 AÑOS WHISKY,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0124,JAMESON WHISKY 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0126,WHISKY DYC 70CL,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0128,BAILEYS ORIGINAL CREMA WHISKY 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0133,TANQUERAY GIN 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0137,YACHTING WHISKY PEACHE 70CL,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0138,BAILEYS ORIGINAL 1L,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0139,BRANDY 1866 GRAN RESERVA 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0141,MARIE BRIZARD ANIS 1L,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0143,PIPPERMINT GET27 70CL,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0144,SMIRNOFF VODKA RED 1L,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0145,BRUGAL RON AÑEJO 70CL,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0147,LICOR MELOCOTON ICA S.ALCOHOL RIVES,D131,0005,BOT,41687,RIVES DISTILLERY COMERCIAL S.A.,ZCG
0LI0148,RIVES LICOR MANZANA SIN 70CL,D131,0005,BOT,41687,RIVES DISTILLERY COMERCIAL S.A.,ZCG
0LI0149,XANTIAMEN OSBORNE ORUJO BLANCO 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0150,XANTIAMEN OSBORNE ORUJO HIERBAS 70CL 1U,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0151,ERISTOFF BLACK VODKA,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0152,RUAVIEJA LICOR DE CAFE 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0153,RUAVIEJA ORUJO HIERBAS 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0159,DYC WHISKY 8 AÑOS 70CL,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0163,LAGAVULIN WHISKY16A 43º 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0172,SEAGRAM'S GIN  EXTRA DRY 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0181,RUAVIEJA BLANCO AGUARDIENTE ORUJO 70CL,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0182,JOSE CUERVO TEQUILA SILVER 38º 70CL,D131,0005,BOT,36778,ZAMORA COMPANY ESPAÑA SL,ZCG
0LI0185,RATAFIA RUSSET 70CL,D131,0005,BOT,15570,"COMERGRUP, S.L.",ZCG
0LI0197,RIVES GRANADINA 1L,D131,0005,BOT,41687,RIVES DISTILLERY COMERCIAL S.A.,ZCG
0LI0204,J&B RARE WHISKY 1L,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0220,LEGENDARIO RON ELIXIR 7 AÑOS 70CL,D131,0005,BOT,44837,"LEGENDARIO, SL",ZCG
0LI0224,BALLANTINE'S WHISKY 1L,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0227,RIVES GROSELLA TROPIC 1L,D131,0005,BOT,41687,RIVES DISTILLERY COMERCIAL S.A.,ZCG
0LI0230,MACHAQUITO ANIS SECO 1L,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0239,SANTA TERESA RON AÑEJO GRAN RESERVA 70CL,D131,0005,BOT,35204,"BACARDI ESPAÑA,S.A.",ZCG
0LI0240,XANTIAMENT LIMONCELLO 70CL 1U,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0241,XANTIAMEN CREMA ORUJO 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0247,ANIS DEL MONO DULCE 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0248,BEEFEATER GIN 1L,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0249,CUTTY SARK WHISKY  1L,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0259,JIMADOR TEQUILA REPOSADO 75CL,D131,0005,BOT,43458,"BROWN-FORMAN, SL",ZCG
0LI0264,RUAVIEJA CREMA ORUJO 70CL 17º,D131,0005,BOT,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0266,CITADELLE GIN 70CL,D131,0005,BOT,42099,"ANTONIO MARTINEZ BARBA, S.L.",ZCG
0LI0267,BULLDOG GIN 70CL,D131,0005,BOT,37039,"CAMPARI ESPAÑA, S.L.",ZCG
0LI0268,G VINE FLORAISON GIN 70CL,D131,0005,BOT,43444,"GLOBAL PREMIUM BRANDS, SA",ZCG
0LI0270,JAGERMEISTER LICOR HIERBAS 70CL,D131,0005,BOT,15570,"COMERGRUP, S.L.",ZCG
0LI0284,GIN MARE MEDITERRANEAN 70CL,D131,0005,BOT,43444,"GLOBAL PREMIUM BRANDS, SA",ZCG
0LI0295,GRAN MARNIER ROJO 70CL,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0296,CALVADOS PERE MAGLOIRE 70CL,D131,0005,BOT,15570,"COMERGRUP, S.L.",ZCG
0LI0314,LICOR CREMA DE ARROZ 70CL,D131,0005,BOT,29056,NOMEN FOODS SL,ZCG
0LI0333,MATUSALEM AÑEJO 70CL,D131,0005,BOT,36778,ZAMORA COMPANY ESPAÑA SL,ZCG
0LI0346,PUERTO DE INDIAS STRAWBERRY GIN 70CL,D131,0005,BOT,37125,"KARMO SPIRIT, S.L.U.",ZCG
0LI0362,GIRO GIN 70CL,D131,0005,BOT,37071,"BARDINET, S.L.",ZCG
0LI0372,VILLA MASSA LIMONCELLO 70CL,D131,0005,BOT,36778,ZAMORA COMPANY ESPAÑA SL,ZCG
0LI0381,NORDES GIN 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI0393,TRIPLE SEC 3L DOS CRUCEIROS,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LI0397,J&B WHISKY 3 BOT + 6 VASOS,D131,0005,CAJ,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0400,OLMECA TEQUILA CHOCOLATE 70CL,D131,0005,UN,36777,"PERNOD RICARD ESPAÑA, SA",ZCG
0LI0431,FIREBALL 70CL (r) 1U,D131,0005,BOT,35883,IMPORTACIONES Y EXPORTACIONES VARMA,ZCG
0LI0452,MACALLAN 12 A.DOBLE CASK 70CL,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0453,TANQUERAY 1L,D131,0005,BOT,35519,"DIAGEO ESPAÑA, S.A.",ZCG
0LI0560,APEROL BARBIERI 1L,D131,0005,BOT,37039,"CAMPARI ESPAÑA, S.L.",ZCG
0LI0561,CAMPARI 70CL,D131,0005,BOT,37039,"CAMPARI ESPAÑA, S.L.",ZCG
0LI0564,ROKU GIN JAPONESA 70CL,D131,0005,BOT,42098,"BEAM SUNTORY ESPAÑA BEVERAGES, S.L.",ZCG
0LI0572,FLOR DE CAÑA 5 AÑOS 70CL,D131,0005,BOT,37901,GRUPO OSBORNE SA,ZCG
0LI2694,P-BEEFEATER 70CL,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0007,SERVILLETA 40X40 BURDEOS 100UTKO,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0010,GC SERVILLETAS 2C 40x40 100U,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0011,GC SERVILLETAS 2C 30x30 100U,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0020,PAPEL HIGIENICO NORMAL 2C 12U,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0024,GC BOBINA SECAMANOS  2C 180M 6U,D131,0005,CAJ,34351,GOMA CAMPS SAU,ZCG
0LM0030,KH 7 DESENGRASANTE  5L,D131,0005,UN,43439,"KH LLOREDA, SA",ZCG
0LM0031,KH DESIC PROF FREGASUELOS  5L.,D131,0005,UN,43439,"KH LLOREDA, SA",ZCG
0LM0035,SANT MATEU SALFUMAN  1 L 15U,D131,0005,CAJ,43418,"BEST PLASTIC ECOPACKAGING, SL",ZCG
0LM0038,FLOQUET LEJIA 5L  3U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0LM0040,SANT MATEU AGUA DESTILADA 5L 3 U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0LM0042,LEJIA+DETERG L'ESPURNA 5L 3U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0LM0044,FLOR SUAVIZANTE PROF 10KG,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0051,SAL GRANO 2Kg DESCALCIFICADORA 10U,D131,0005,CAJ,43418,"BEST PLASTIC ECOPACKAGING, SL",ZCG
0LM0052,SAL GARCIA SAL RENTAV.PASTILLA 2KG 10U,D131,0005,CAJ,5114,"FRANCISCO GARCIA EL RISOS, S.L",ZCG
0LM0053,SAL GRUESA 25 Kg DESCALCIFICADOR,D131,0005,UN,43418,"BEST PLASTIC ECOPACKAGING, SL",ZCG
0LM0054,SAL GARCIA SAL PASTILLA 25KG. DESCALSIF.,D131,0005,UN,5114,"FRANCISCO GARCIA EL RISOS, S.L",ZCG
0LM0068,BOLSA VILEDA AUTOTA. 55x60 30U,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0070,SCOTCH BRITE ESTROPAJO VERDE ROLLO 6M,D131,0005,UN,13419,"TECNOPACKING, S.L.",ZCG
0LM0075,GAMUZA AMARILLA  MULTIUS 4M,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0079,VILEDA CEPILLO MANTENIMIENTO,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0087,MINI SECAMANOS GC 2C 6 UNIDADES,D131,0005,CAJ,34351,GOMA CAMPS SAU,ZCG
0LM0091,TOALLA SECAMANOS 2C 20/230U,D131,0005,CAJ,34351,GOMA CAMPS SAU,ZCG
0LM0092,DON PALILLO PALILLOS ENV.1000,D131,0005,UN,43417,"BADAREGAL, SA",ZCG
0LM0099,BALNIC LAVAVAJILLAS MAQ. AGUAS DURAS 6KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0100,BALNIC ABRILLANTADOR LAVAVAJILLAS AUTO5K,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0102,BALNIC DESENGRASANTE 5KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0104,BALNIC LIMPIACRISTALES MULTIUSOS 5LT,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0105,BALNIC LAVAVAJILLAS AGUA SEMI 6KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0106,BALNIC DETERGENTE AMONIACO 5KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0109,BALNIC LEJIA CON DETERGENTE 5KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0110,BALNIC DESINCRUSTANTE  LAVAVAJILLAS 6KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0113,AMBIENTADOR MOJITO AIR 1L.,D131,0005,UN,34339,Proeco QuÍ­micas sl,ZCG
0LM0114,BALNIC DESENGR.PLANCHAS HORNO 6KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0115,BALNIC DESINCRUSTANTE ANTICAL 1L,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0116,PLA FREGONA ALGODON,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0117,PALO FREGONA/CEPILLO HOSTELERIA,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0118,MAYA CEPILLO ESCOBA BAJO COSTE,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0121,SERV. 2C KIWI P&P 40x40 100U,D131,0005,CAJ,34351,GOMA CAMPS SAU,ZCG
0LM0124,GC SERVILLETA 40x40 NEGR.100U TOKYO,D131,0005,CAJ,34351,GOMA CAMPS SAU,ZCG
0LM0125,SERV. 2C. KANGURO NARANJA P&P 40x40 100U,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0131,"DPALILLO PINCHO PALILLO BAMBU10,5CM 200U",D131,0005,UN,43417,"BADAREGAL, SA",ZCG
0LM0133,PLA ESTROPAJO ACERO INOX.  40GR 12U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0LM0135,BAYETA AMARILLA A 20 PLANA ROLLO,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0137,PLA PAÑO VAJILLA AZUL PACK 12U,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0140,PLA RECOGEDOR ESCOBA PALO+GOMA,D131,0005,UN,44821,"COSAMO PACKAGING, SLU",ZCG
0LM0154,COPA AGUA PRINCESA 23CL 6U,D131,0005,CAJ,24325,"ADI HOGAR Y HOSTELERÍA IBERIA, S.L.",ZCG
0LM0157,ARCOROC VASO CORTADO 11CL 12U,D131,0005,CAJ,24325,"ADI HOGAR Y HOSTELERÍA IBERIA, S.L.",ZCG
0LM0166,GC SERVILLETAS 1C KANGUR NEGRAS40x40 50U,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0181,TECNOPACKING BLOC DE NOTAS 10U HOST,D131,0005,UN,13419,"TECNOPACKING, S.L.",ZCG
0LM0184,SECAMANOS GC 2C.ADD AZUL 106M 6U,D131,0005,CAJ,34351,GOMA CAMPS SAU,ZCG
0LM0200,MACOPAL BANDEJA 3 CANELONES   100U,D131,0005,CAJ,40130,MACOPAL S.L.,ZCG
0LM0201,MACOPAL BANDEJA 6 CANELONES   100U,D131,0005,CAJ,40130,MACOPAL S.L.,ZCG
0LM0202,MACOPAL BANDEJA 12 CANELONES   100U,D131,0005,CAJ,40130,MACOPAL S.L.,ZCG
0LM0203,MACOPAL TAPA BANDEJA 3 CANELONES   100U,D131,0005,CAJ,40130,MACOPAL S.L.,ZCG
0LM0204,MACOPAL TAPA BANDEJA 6 CANELONES   100U,D131,0005,CAJ,40130,MACOPAL S.L.,ZCG
0LM0205,MACOPACK TAPA BANDEJA 12 CANELONES 100U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0LM0207,MANTELES 30x40 NEGRO RO.160,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0210,QUID CUCHARITA CAFE INOX HOTEL 12U,D131,0005,CAJ,24325,"ADI HOGAR Y HOSTELERÍA IBERIA, S.L.",ZCG
0LM0211,QUID CUCHARILLA INOX HOTEL 12U (POSTRES),D131,0005,CAJ,24325,"ADI HOGAR Y HOSTELERÍA IBERIA, S.L.",ZCG
0LM0213,QUID CUCHARA MESA INOX HOTEL 12U,D131,0005,CAJ,24325,"ADI HOGAR Y HOSTELERÍA IBERIA, S.L.",ZCG
0LM0214,QUID TENEDOR MESA INOX HOTEL 12U,D131,0005,CAJ,24325,"ADI HOGAR Y HOSTELERÍA IBERIA, S.L.",ZCG
0LM0218,GC SERVILLETAS 20x20 N.COCTEL2C.100,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0221,MANTEL 30x40 KIWI RO.160,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0238,COLON GEL BIDO 9KG,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0LM0258,BALNIC LIMPIADOR NEUTRO FLORAL 5KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0259,BALNIC LIMPIADOR BAÑOS 5KG,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0278,BALNIC BALNIC LIMPIACRISTALES 1LT,D131,0005,BOT,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0281,SERV. 2C.ROJO P&P 40x40 100U,D131,0005,UN,34351,GOMA CAMPS SAU,ZCG
0LM0296,BALNIC DESENGRASANTE PROF 1L,D131,0005,UN,30672,DDI PROVEA S.L (CENTRAL),ZCG
0LM0316,VASO DE TUBO COMB 40CL 9U TMXC,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0LM0319,VASO CHUPITO 6CL 72U  TMXC,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0LM0334,KH 7 DESIC INSECT SUELOS 750ML,D131,0005,UN,43439,"KH LLOREDA, SA",ZCG
0LM0337,SERVILLETAS BOCADILLO 25X25 750U,D131,0005,PQ,43418,"BEST PLASTIC ECOPACKAGING, SL",ZCG
0LM0376,TECNOPACKING BOLSA KRAFT 14+7X24 1000U,D131,0005,CAJ,13419,"TECNOPACKING, S.L.",ZCG
0LM0378,TECNOPACKING BOLSA KRAFT 18+10X50 1000U,D131,0005,CAJ,13419,"TECNOPACKING, S.L.",ZCG
0LM0391,ARCOROC COPA COMBINADO ARC 62 CL 6U,D131,0005,CAJ,24325,"ADI HOGAR Y HOSTELERÍA IBERIA, S.L.",ZCG
